indexnummer,klachtnummer,naam,email,telefoon,hoofdcategorie,subcategorie,behandeltermijn,status,bron,gebied,wijk,tevredenheid,team,wijziging,datum,behandelsduur
13,KLDF065D33,Emma van Dijk,emma.van dijk959@voorbeeld.nl,0679137101,Straatverlichting,Lantaarnpaal kapot,10 dagen,Afgehandelde klacht,app,Tongelre,Oud-Tongelre,Neutraal,Team Verlichting,0,2025-02-25,3.0
14,KLBA27DFC7,Sophie Jansen,sophie.jansen751@outlook.com,0635146325,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,app,Tongelre,Oud-Tongelre,,Team Reiniging,0,2025-01-30,
15,KL06598C51,Sara Smit,sara.smit912@gmail.com,0660924807,Afval en reiniging,Dumping grofvuil,5 dagen,In behandeling,app,Centrum,De Bergen,,Team Reiniging,0,2025-02-02,
16,KLBE3F0865,Noah Visser,noah.visser826@gmail.com,0675150674,Spelen en sport,Beschadigde speeltoestellen,5 dagen,In behandeling,app,Stratum,Putten,,Team Spelen & Sport,0,2025-02-15,
17,KL534579D8,Emma van Dijk,emma.van dijk876@hotmail.com,0699024492,Afval en reiniging,Niet geleegde containers,3 dagen,Openstaand,internet,Stratum,Oud-Stratum,,Team Reiniging,0,2025-01-28,
18,KLF217C9B5,Liam de Vries,liam.de vries450@voorbeeld.nl,0699076951,Groenvoorziening,Onkruidbestrijding,14 dagen,Openstaand,telefoon,Tongelre,De Laak,,Team Groenvoorziening,0,2025-02-24,
19,KL40FE8454,Mila Koster,mila.koster79@gmail.com,0640258545,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,telefoon,Centrum,Binnenstad,,Team Reiniging,0,2025-02-20,
20,KLC16FFA3E,Liam de Boer,liam.de boer19@hotmail.com,0674360490,Dieren,Dode of gewonde dieren - op straat,1 dag,Heropend,app,Strijp,Oud-Strijp,,Team Handhaving,0,2025-02-17,
21,KL34A4770B,Liam Smit,,0673839498,Afval en reiniging,Zwerfvuil,5 dagen,In behandeling,telefoon,Stratum,Kortonjo,,Team Reiniging,0,2025-02-01,
22,KLC67E888C,Finn Bakker,finn.bakker577@hotmail.com,,Afval en reiniging,Niet geleegde containers,3 dagen,Openstaand,app,Stratum,Oud-Stratum,,Team Reiniging,0,2025-01-31,
23,KLB298D963,Liam Koster,liam.koster302@outlook.com,,Vandalisme,Beschadigde objecten,5 dagen,Openstaand,formulier,Strijp,Meerhoven,,Team Handhaving,0,2025-02-24,
24,KL4BE453A3,Mila Visser,mila.visser518@gmail.com,0651638100,Woningtoezicht,Achterstallig onderhoud,10 dagen,Openstaand,app,Woensel Zuid,Oud-Woensel,,Team Bouw & Toezicht,0,2025-01-30,
25,KL095B7B2A,Mila Meijer,mila.meijer61@hotmail.com,0642907818,Woningtoezicht,Achterstallig onderhoud,10 dagen,In behandeling,app,Woensel Zuid,Begijnenbroek,,Team Bouw & Toezicht,0,2025-02-23,
26,KLD997E7CF,Julia Koster,,0651365310,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Afgehandelde klacht,app,Gestel,Oud-Gestel,Ontevreden,Team Wegen & Verkeer,0,2025-02-23,6.0
27,KL8F56BB9D,Daan Bakker,daan.bakker780@hotmail.com,,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,internet,Woensel Noord,Dommelbeemd,,Team Reiniging,0,2025-02-09,
28,KLD8919370,Sara Bakker,sara.bakker344@gmail.com,0679225430,Verkeer en wegen,Verkeersbord ontbreekt/beschadigd,10 dagen,In behandeling,app,Centrum,Binnenstad,,Team Wegen & Verkeer,0,2025-02-25,
29,KL98555068,Finn Jansen,finn.jansen517@gmail.com,,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Geannuleerd,app,Woensel Zuid,Erp,,Team Handhaving,0,2025-02-24,
30,KLFD630B8B,Julia Bakker,julia.bakker123@gmail.com,,Openbaar vervoer,Klacht over dienstverlening,5 dagen,Openstaand,app,Tongelre,Oud-Tongelre,,Team Wegen & Verkeer,0,2025-02-26,
31,KL314B19F9,Tess Meijer,,,Woningtoezicht,Achterstallig onderhoud,10 dagen,Afgehandelde klacht,app,Woensel Noord,Aanschot,Ontevreden,Team Handhaving,1,2025-02-01,16.0
32,KL16399934,Sara Smit,sara.smit227@gmail.com,0618430017,Afval en reiniging,Zwerfvuil,5 dagen,Afgehandelde klacht,app,Woensel Noord,Ontginning,Zeer ontevreden,Team Reiniging,0,2025-02-02,6.0
33,KL66BC4AF5,Mila van Dijk,mila.van dijk808@voorbeeld.nl,0668755624,Afval en reiniging,Verstopte putten,3 dagen,Openstaand,app,Woensel Noord,Ontginning,,Team Reiniging,0,2025-02-03,
34,KLB3494967,Noah Visser,noah.visser758@gmail.com,,Geluidsoverlast,Horeca,7 dagen,Openstaand,app,Strijp,Halve Maan,,Team Handhaving,0,2025-02-22,
35,KL351195AF,Julia Mulder,julia.mulder337@outlook.com,0641969949,Openbaar vervoer,Klacht over dienstverlening,5 dagen,Heropend,formulier,Stratum,Kortonjo,,Team Wegen & Verkeer,0,2025-02-19,
36,KL0CCC44BF,Finn de Boer,finn.de boer970@voorbeeld.nl,0622385946,Vandalisme,Graffiti,10 dagen,Afgehandelde klacht,internet,Tongelre,De Laak,Ontevreden,Team Handhaving,0,2025-02-01,13.0
37,KL095A51A4,Mila Koster,mila.koster751@hotmail.com,0682435668,Spelen en sport,Vervuiling sportveld,7 dagen,Afgehandelde klacht,app,Centrum,Fellenoord,Ontevreden,Team Spelen & Sport,0,2025-02-01,16.0
38,KL74EF66CD,Sara Smit,sara.smit177@outlook.com,0627404139,Spelen en sport,Beschadigde speeltoestellen,5 dagen,In behandeling,app,Centrum,Binnenstad,,Team Spelen & Sport,0,2025-02-21,
39,KL5472DA2B,Julia de Vries,julia.de vries556@outlook.com,,Afval en reiniging,Niet geleegde containers,3 dagen,Openstaand,internet,Woensel Zuid,Erp,,Team Reiniging,0,2025-02-06,
40,KL54972254,Emma de Vries,,0663284410,Afval en reiniging,Niet geleegde containers,3 dagen,Afgehandelde klacht,formulier,Gestel,Rozenknopje,Zeer tevreden,Team Reiniging,0,2025-02-08,7.0
41,KL6FE32916,Noah Meijer,noah.meijer995@gmail.com,0646791755,Parkeerproblemen,Foutparkeren,1 dag,Afgehandelde klacht,telefoon,Strijp,Meerhoven,Neutraal,Team Handhaving,0,2025-02-21,4.0
42,KLB2403726,Emma de Boer,emma.de boer587@hotmail.com,0660655014,Openbaar vervoer,Beschadigde haltes,7 dagen,Geannuleerd,app,Centrum,Fellenoord,,Team Wegen & Verkeer,0,2025-02-08,
43,KL56E6A9D7,Tess Koster,tess.koster567@hotmail.com,0672106043,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Openstaand,app,Centrum,De Bergen,,Team Spelen & Sport,0,2025-02-05,
44,KL91A1181F,Noah de Boer,noah.de boer822@gmail.com,0614623100,Geluidsoverlast,Horeca,7 dagen,Afgehandelde klacht,app,Tongelre,De Laak,Neutraal,Team Handhaving,0,2025-02-18,10.0
45,KLCF7CA2C7,Daan Visser,daan.visser198@voorbeeld.nl,0616235535,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Heropend,telefoon,Woensel Noord,Ontginning,,Team Reiniging,1,2025-01-29,
46,KLAE2B5DB0,Julia Visser,julia.visser327@voorbeeld.nl,0637060446,Straatverlichting,Knipperende verlichting,10 dagen,Openstaand,app,Stratum,Putten,,Team Verlichting,0,2025-02-12,
47,KL55F9C96F,Daan de Boer,daan.de boer957@outlook.com,0624177729,Groenvoorziening,Onkruidbestrijding,14 dagen,Geannuleerd,app,Tongelre,Oud-Tongelre,,Team Groenvoorziening,0,2025-02-02,
48,KLDEE5906A,Mila Visser,mila.visser223@outlook.com,,Afval en reiniging,Dumping grofvuil,5 dagen,Openstaand,internet,Centrum,Binnenstad,,Team Reiniging,0,2025-02-08,
49,KL2276B4F1,Noah Bakker,noah.bakker30@outlook.com,0673343430,Woningtoezicht,Ongedierte,5 dagen,Geannuleerd,app,Tongelre,Oud-Tongelre,,Team Bouw & Toezicht,0,2025-01-29,
50,KL16F5565E,Tess Bakker,tess.bakker245@gmail.com,0698195967,Illegale activiteiten,Woningdelen zonder vergunning,7 dagen,Heropend,formulier,Stratum,Putten,,Team Handhaving,0,2025-02-02,
51,KLBE23F289,Noah Visser,noah.visser837@gmail.com,0668307853,Afval en reiniging,Zwerfvuil,5 dagen,Geannuleerd,app,Woensel Zuid,Oud-Woensel,,Team Reiniging,0,2025-01-29,
52,KL233179B7,Daan de Vries,daan.de vries635@gmail.com,0664907321,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,telefoon,Centrum,Fellenoord,,Team Reiniging,0,2025-02-12,
53,KL38ECFE43,Liam Bakker,liam.bakker695@outlook.com,0627440928,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Heropend,internet,Stratum,Oud-Stratum,,Team Spelen & Sport,0,2025-02-18,
54,KL2B347ADC,Liam Mulder,liam.mulder308@hotmail.com,0631600056,Afval en reiniging,Zwerfvuil,5 dagen,Openstaand,internet,Strijp,Halve Maan,,Team Reiniging,0,2025-02-16,
55,KLF8D93549,Sophie Jansen,sophie.jansen551@gmail.com,0615630653,Straatverlichting,Knipperende verlichting,10 dagen,Heropend,formulier,Gestel,Rozenknopje,,Team Verlichting,0,2025-02-16,
56,KLF7968668,Liam Jansen,liam.jansen584@hotmail.com,0690691257,Woningtoezicht,Achterstallig onderhoud,10 dagen,Openstaand,app,Tongelre,Oud-Tongelre,,Team Bouw & Toezicht,0,2025-02-25,
57,KL74E2EF9C,Julia Meijer,julia.meijer510@voorbeeld.nl,0674042182,Afval en reiniging,Niet geleegde containers,3 dagen,Geannuleerd,onbekend,Woensel Zuid,Oud-Woensel,,Team Reiniging,0,2025-01-29,
58,KL0BA4890D,Daan Koster,daan.koster460@gmail.com,0617425457,Bouwvergunning,Overlast door projecten,7 dagen,Openstaand,app,Tongelre,De Laak,,Team Bouw & Toezicht,0,2025-01-29,
59,KLBC97BF15,Liam Smit,liam.smit23@voorbeeld.nl,0696745923,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Afgehandelde klacht,internet,Woensel Noord,Achtse Molen,Zeer ontevreden,Team Wegen & Verkeer,0,2025-01-28,8.0
60,KLF37EB72F,Liam Smit,liam.smit893@gmail.com,0679561787,Bouwvergunning,Illegale aanbouw,14 dagen,Heropend,internet,Tongelre,De Laak,,Team Bouw & Toezicht,0,2025-02-05,
61,KL8454E30A,Finn Koster,finn.koster607@gmail.com,0668650607,Vandalisme,Graffiti,10 dagen,In behandeling,formulier,Strijp,Oud-Strijp,,Team Handhaving,0,2025-02-13,
62,KLD7128D67,Noah Smit,noah.smit328@hotmail.com,0634779370,Spelen en sport,Vervuiling sportveld,7 dagen,Afgehandelde klacht,internet,Woensel Noord,Achtse Molen,Zeer tevreden,Team Spelen & Sport,0,2025-02-05,2.0
63,KL88A3FCAD,Emma Jansen,emma.jansen879@hotmail.com,0636864348,Woningtoezicht,Achterstallig onderhoud,10 dagen,Afgehandelde klacht,internet,Centrum,TU-terrein,Ontevreden,Team Bouw & Toezicht,0,2025-01-31,17.0
64,KL4071DBED,Liam Smit,liam.smit733@outlook.com,0689786273,Afval en reiniging,Niet geleegde containers,3 dagen,Geannuleerd,formulier,Tongelre,De Laak,,Team Reiniging,0,2025-02-25,
65,KLB108333F,Noah de Vries,noah.de vries566@gmail.com,0652977642,Woningtoezicht,Achterstallig onderhoud,10 dagen,In behandeling,internet,Woensel Noord,Dommelbeemd,,Team Bouw & Toezicht,0,2025-02-13,
66,KL3C5CDCFD,Tess Visser,tess.visser336@gmail.com,0620020350,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,app,Strijp,Halve Maan,Zeer ontevreden,Team Reiniging,0,2025-02-09,18.0
67,KLFABDAAD4,Liam van Dijk,liam.van dijk128@outlook.com,0628773683,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,In behandeling,telefoon,Centrum,TU-terrein,,Team Sociaal Domein,0,2025-02-02,
68,KL8D641447,Sophie Smit,sophie.smit804@gmail.com,0633539746,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,Afgehandelde klacht,formulier,Tongelre,De Laak,Ontevreden,Team Handhaving,0,2025-02-11,2.0
69,KL9C0FB35A,Julia de Vries,julia.de vries425@hotmail.com,0664202272,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Heropend,formulier,Centrum,Fellenoord,,Team Handhaving,0,2025-02-03,
70,KL3EB18727,Tess Jansen,tess.jansen673@hotmail.com,0687118409,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Heropend,app,Centrum,Witte Dame,,Team Handhaving,0,2025-02-11,
71,KLF3265E1B,Julia Mulder,julia.mulder2@gmail.com,0637537699,Afval en reiniging,Zwerfvuil,5 dagen,Geannuleerd,internet,Gestel,Oud-Gestel,,Team Reiniging,0,2025-02-03,
72,KL10861C9D,Sara Bakker,sara.bakker13@outlook.com,0626652318,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Heropend,telefoon,Stratum,Putten,,Team Wegen & Verkeer,0,2025-02-25,
73,KL4FB638DA,Finn van Dijk,finn.van dijk678@hotmail.com,0660470650,Straatverlichting,Lantaarnpaal kapot,10 dagen,Afgehandelde klacht,formulier,Woensel Noord,Aanschot,Ontevreden,Team Verlichting,0,2025-02-06,10.0
74,KL87F1989C,Tess de Boer,tess.de boer380@gmail.com,0664858961,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Afgehandelde klacht,internet,Woensel Noord,Achtse Molen,Zeer ontevreden,Team Wegen & Verkeer,0,2025-02-24,15.0
75,KLC58EE22B,Sara Jansen,sara.jansen15@gmail.com,0670413556,Afval en reiniging,Verstopte putten,3 dagen,Openstaand,telefoon,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-11,
76,KL99B8A25D,Tess Visser,,0667517436,Afval en reiniging,Zwerfvuil,5 dagen,Geannuleerd,telefoon,Stratum,Putten,,Team Reiniging,0,2025-02-24,
77,KLFB6CECDD,Emma van Dijk,emma.van dijk417@gmail.com,0649372721,Verkeer en wegen,Verkeersbord ontbreekt/beschadigd,10 dagen,Heropend,app,Centrum,De Bergen,,Team Wegen & Verkeer,0,2025-02-10,
78,KLF2B77397,Noah Smit,noah.smit509@hotmail.com,0676895175,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Openstaand,app,Centrum,TU-terrein,,Team Sociaal Domein,0,2025-02-16,
79,KLCBFC5A67,Finn Bakker,finn.bakker766@gmail.com,0681693879,Verkeer en wegen,Gat in de weg,5 dagen,Openstaand,formulier,Woensel Zuid,Begijnenbroek,,Team Wegen & Verkeer,0,2025-01-31,
80,KL1014C8D5,Liam Smit,,,Groenvoorziening,Overhangend groen,14 dagen,Afgehandelde klacht,app,Tongelre,Oud-Tongelre,Zeer tevreden,Team Groenvoorziening,0,2025-02-02,13.0
81,KL7F5600AE,Noah Visser,noah.visser125@gmail.com,0632120068,Dieren,Dode of gewonde dieren - op straat,1 dag,In behandeling,app,Stratum,Putten,,Team Handhaving,0,2025-02-24,
82,KLE9FD5A76,Finn Smit,finn.smit802@outlook.com,0698545700,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,internet,Tongelre,De Laak,,Team Sociaal Domein,1,2025-02-10,
83,KL52E04E5C,Julia Smit,julia.smit45@gmail.com,0664828369,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,Openstaand,app,Stratum,Putten,,Team Handhaving,0,2025-02-09,
84,KL5D93556B,Noah de Boer,noah.de boer17@voorbeeld.nl,0685935458,Afval en reiniging,Niet geleegde containers,3 dagen,Afgehandelde klacht,internet,Strijp,Halve Maan,Tevreden,Team Reiniging,0,2025-02-16,4.0
85,KLBDFDB895,Noah Jansen,noah.jansen259@hotmail.com,,Straatverlichting,Lantaarnpaal kapot,10 dagen,In behandeling,app,Strijp,Meerhoven,,Team Verlichting,0,2025-02-24,
86,KLAC960EAA,Daan de Vries,daan.de vries181@hotmail.com,,Woningtoezicht,Achterstallig onderhoud,10 dagen,In behandeling,internet,Stratum,Putten,,Team Bouw & Toezicht,0,2025-02-04,
87,KL30F93BD3,Liam Mulder,liam.mulder221@outlook.com,0680164407,Straatverlichting,Knipperende verlichting,10 dagen,Geannuleerd,internet,Stratum,Oud-Stratum,,Team Verlichting,0,2025-02-22,
88,KL1DA17D06,Emma de Boer,emma.de boer691@hotmail.com,,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,app,Gestel,Rozenknopje,Ontevreden,Team Reiniging,0,2025-02-04,13.0
89,KL7C292012,Emma de Vries,emma.de vries731@outlook.com,0637314969,Straatverlichting,Knipperende verlichting,10 dagen,Openstaand,formulier,Woensel Noord,Dommelbeemd,,Team Verlichting,0,2025-01-29,
90,KL444EAFA6,Mila de Boer,,0622785115,Afval en reiniging,Niet geleegde containers,3 dagen,Geannuleerd,formulier,Tongelre,Oud-Tongelre,,Team Reiniging,0,2025-02-04,
91,KL04B6DB15,Daan Smit,daan.smit749@gmail.com,0691306618,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,In behandeling,app,Strijp,Meerhoven,,Team Handhaving,0,2025-02-01,
92,KL7E29C689,Emma Visser,emma.visser761@gmail.com,0633614968,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Geannuleerd,app,Tongelre,Oud-Tongelre,,Team Spelen & Sport,0,2025-02-01,
93,KL6FFC2C33,Finn Smit,,0699498374,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Geannuleerd,app,Gestel,Rozenknopje,,Team Wegen & Verkeer,0,2025-02-14,
94,KL1DBA5184,Emma Meijer,emma.meijer561@gmail.com,,Illegale activiteiten,Woningdelen zonder vergunning,7 dagen,Heropend,app,Tongelre,Oud-Tongelre,,Team Handhaving,0,2025-02-03,
95,KLB5A43924,Emma Meijer,emma.meijer256@hotmail.com,0688056735,Afval en reiniging,Niet geleegde containers,3 dagen,Geannuleerd,app,Tongelre,De Laak,,Team Reiniging,0,2025-02-23,
96,KL8D5E135C,Noah de Boer,noah.de boer215@outlook.com,0667887385,Afval en reiniging,Dumping grofvuil,5 dagen,In behandeling,app,Centrum,Witte Dame,,Team Reiniging,0,2025-02-22,
97,KL042B411F,Emma de Boer,emma.de boer730@hotmail.com,0665691007,Afval en reiniging,Zwerfvuil,5 dagen,Afgehandelde klacht,app,Stratum,Putten,Zeer ontevreden,Team Reiniging,0,2025-02-08,11.0
98,KL219E3942,Mila de Vries,mila.de vries32@hotmail.com,0689063078,Afval en reiniging,Verstopte putten,3 dagen,Openstaand,app,Gestel,Oud-Gestel,,Team Reiniging,0,2025-02-21,
99,KLEC3BA5D5,Sophie Bakker,sophie.bakker431@hotmail.com,0677252079,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Openstaand,internet,Strijp,Meerhoven,,Team Wegen & Verkeer,0,2025-02-22,
100,KLC810A697,Julia Bakker,julia.bakker840@hotmail.com,0672976044,Afval en reiniging,Zwerfvuil,5 dagen,Openstaand,app,Woensel Zuid,Erp,,Team Reiniging,0,2025-02-07,
101,KL23CBF40F,Finn van Dijk,finn.van dijk610@outlook.com,,Afval en reiniging,Dumping grofvuil,5 dagen,Openstaand,app,Centrum,Witte Dame,,Team Reiniging,0,2025-01-31,
102,KLA5E41E67,Noah Mulder,noah.mulder495@hotmail.com,0673205092,Afval en reiniging,Zwerfvuil,5 dagen,Openstaand,onbekend,Woensel Zuid,Oud-Woensel,,Team Reiniging,0,2025-02-17,
103,KL81590D40,Sophie Bakker,sophie.bakker617@gmail.com,0620470391,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,app,Stratum,Putten,,Team Reiniging,0,2025-02-14,
104,KL0CCE8643,Sophie Jansen,,0694238240,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,internet,Gestel,Oud-Gestel,,Team Reiniging,0,2025-02-06,
105,KL067139EB,Julia Koster,julia.koster365@gmail.com,0626563994,Afval en reiniging,Verstopte putten,3 dagen,Heropend,app,Stratum,Oud-Stratum,,Team Bouw & Toezicht,1,2025-01-30,
106,KL5D2CD3F9,Finn Bakker,finn.bakker228@voorbeeld.nl,0623113201,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,internet,Centrum,De Bergen,Zeer tevreden,Team Reiniging,0,2025-02-12,1.0
107,KLF2DA336C,Daan Meijer,daan.meijer652@gmail.com,,Dieren,Overlast door dieren,7 dagen,In behandeling,app,Tongelre,Oud-Tongelre,,Team Handhaving,0,2025-02-03,
108,KL7A046C36,Emma Jansen,emma.jansen979@gmail.com,0685645698,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,In behandeling,internet,Strijp,Oud-Strijp,,Team Sociaal Domein,0,2025-02-09,
109,KL17635985,Mila Meijer,mila.meijer878@gmail.com,0695882532,Jeugdzorg,Ondersteuning bij opvoeding,14 dagen,Heropend,telefoon,Strijp,Oud-Strijp,,Team Sociaal Domein,0,2025-02-22,
110,KL86BFE2FC,Sara de Vries,sara.de vries352@hotmail.com,0653712782,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Afgehandelde klacht,onbekend,Centrum,De Bergen,Neutraal,Team Verlichting,1,2025-02-16,15.0
111,KLE30AED0E,Sophie de Boer,sophie.de boer605@outlook.com,0634023547,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,formulier,Centrum,TU-terrein,,Team Reiniging,0,2025-02-14,
112,KL459385A4,Tess Smit,tess.smit690@gmail.com,0672258477,Straatverlichting,Lantaarnpaal kapot,10 dagen,Heropend,telefoon,Gestel,Rozenknopje,,Team Verlichting,0,2025-02-17,
113,KL8673D78C,Mila Visser,mila.visser552@hotmail.com,0663319057,Groenvoorziening,Omgevallen boom,2 dagen,In behandeling,formulier,Tongelre,De Laak,,Team Groenvoorziening,0,2025-01-31,
114,KL3BF69C2D,Emma Mulder,emma.mulder7@outlook.com,0631551201,Vandalisme,Beschadigde objecten,5 dagen,Geannuleerd,app,Centrum,TU-terrein,,Team Handhaving,0,2025-01-29,
115,KLC1C66363,Mila de Boer,mila.de boer680@outlook.com,0640405213,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Geannuleerd,internet,Strijp,Halve Maan,,Team Spelen & Sport,0,2025-02-01,
116,KL9750CB32,Julia Smit,julia.smit880@gmail.com,0687507771,Groenvoorziening,Onkruidbestrijding,14 dagen,Openstaand,internet,Woensel Noord,Achtse Molen,,Team Groenvoorziening,0,2025-02-10,
117,KLDDBD9081,Emma Smit,emma.smit391@hotmail.com,0684218769,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Heropend,onbekend,Stratum,Oud-Stratum,,Team Wegen & Verkeer,0,2025-02-15,
118,KL5F47B409,Sara Bakker,,0699513699,Woningtoezicht,Achterstallig onderhoud,10 dagen,Heropend,telefoon,Woensel Noord,Aanschot,,Team Bouw & Toezicht,0,2025-02-01,
119,KL0BFCCEF4,Julia de Vries,julia.de vries61@voorbeeld.nl,0653223598,Afval en reiniging,Zwerfvuil,5 dagen,Geannuleerd,app,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-21,
120,KLED4F13C2,Mila Mulder,mila.mulder644@gmail.com,0643482395,Vandalisme,Beschadigde objecten,5 dagen,Openstaand,telefoon,Tongelre,Oud-Tongelre,,Team Wegen & Verkeer,1,2025-01-30,
121,KL1F2E841D,Tess de Boer,tess.de boer282@outlook.com,0666055571,Vandalisme,Graffiti,10 dagen,Heropend,formulier,Strijp,Meerhoven,,Team Handhaving,0,2025-02-09,
122,KL2791D46E,Liam de Boer,liam.de boer950@outlook.com,0683431292,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Afgehandelde klacht,formulier,Strijp,Oud-Strijp,Ontevreden,Team Handhaving,0,2025-02-19,11.0
123,KLEC8AF9AD,Julia de Vries,julia.de vries594@gmail.com,0628000827,Straatverlichting,Knipperende verlichting,10 dagen,In behandeling,app,Strijp,Halve Maan,,Team Verlichting,0,2025-02-15,
124,KLF9EF0E1B,Daan Smit,daan.smit436@outlook.com,,Afval en reiniging,Zwerfvuil,5 dagen,Heropend,telefoon,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-25,
125,KL43CF9C1B,Sara de Vries,,0667921025,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),Heropend,telefoon,Gestel,Oud Kasteel,,Team Handhaving,0,2025-02-05,
126,KLB17DC734,Daan Visser,daan.visser762@outlook.com,,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Heropend,app,Strijp,Oud-Strijp,,Team Handhaving,0,2025-02-06,
